Id,SalePrice
1461,121933.23547762191
1462,159583.15222991147
1463,186278.08123848564
1464,198639.0654461325
1465,192263.36559914154
1466,171634.5352808583
1467,176678.74836239446
1468,163127.22763244543
1469,192040.09316585172
1470,122423.49096301457
1471,193798.19169341572
1472,95904.778611651
1473,95314.18508736498
1474,147780.3618046959
1475,111217.96399878987
1476,373715.6165837142
1477,246781.21535709978
1478,288506.58935116226
1479,285680.91971365607
1480,502237.7953253158
1481,332220.50857892213
1482,208053.76074834145
1483,180356.05706433277
1484,163678.0692962731
1485,183878.9117051788
1486,196726.23655275637
1487,341852.36489108135
1488,235838.9510092301
1489,197901.1256121282
1490,240819.62678338584
1491,195121.16893508274
1492,90495.61050920846
1493,184821.91713029056
1494,290208.1141936619
1495,288124.0754791159
1496,239417.77574243202
1497,181700.64548505915
1498,166236.32694040908
1499,160575.0621925564
1500,157963.8556736887
1501,176463.4407055622
1502,144117.8688174042
1503,293789.31562912685
1504,239251.05637546332
1505,225435.48178738402
1506,189282.54659022196
1507,255395.44455864746
1508,197745.82860287657
1509,159782.1967877214
1510,145604.99144845284
1511,148019.4854221829
1512,173054.85239492296
1513,147417.85411325574
1514,155468.67182922945
1515,195021.91175641035
1516,152251.7592710647
1517,168508.49035554563
1518,132133.3915423223
1519,219459.85988234368
1520,130950.66031133974
1521,135555.0722747869
1522,172784.28688661792
1523,112639.69264699858
1524,124340.54516444908
1525,121478.20874539074
1526,112684.5370932768
1527,103621.18456874779
1528,135028.12180529797
1529,152715.64838784674
1530,181239.4321949697
1531,103984.97576476022
1532,94887.60545000555
1533,148892.35250125278
1534,124679.89735595151
1535,154830.97251419417
1536,108149.82665290014
1537,69369.55805493635
1538,148029.60274663012
1539,188856.4447170975
1540,96611.17780666084
1541,142927.9975435765
1542,145992.33241782535
1543,201776.7494472628
1544,79937.36536177716
1545,111736.54842435288
1546,133530.87475963976
1547,131864.35679232425
1548,138484.90247663792
1549,117702.54793423787
1550,137309.10236600498
1551,107405.5053348745
1552,137677.88316640924
1553,148629.69139515722
1554,113334.95474170247
1555,165329.24755300154
1556,81048.92888121118
1557,109238.71269833203
1558,99648.59261137522
1559,86683.55854140258
1560,134561.14459448642
1561,129162.20028929302
1562,130464.50286835335
1563,122703.29798975127
1564,161402.7592869513
1565,150937.0574769231
1566,237440.84055458772
1567,75631.23582580162
1568,233372.44050855376
1569,135374.26812490806
1570,137445.04682279268
1571,116934.16713184697
1572,147715.99877548826
1573,249697.6545358317
1574,121288.08465028983
1575,231483.84861447808
1576,246132.36604665485
1577,184166.20105502938
1578,141553.09013108953
1579,145084.00271316193
1580,193501.99037737394
1581,150655.98183393455
1582,125233.62959434577
1583,306189.22364638903
1584,224669.07594968998
1585,138169.95970953643
1586,65545.71784456352
1587,100713.89006984836
1588,153198.31751226887
1589,98593.19389480566
1590,135973.14537472746
1591,95036.52928869755
1592,120348.90549408397
1593,122020.20931117749
1594,129699.49127636978
1595,129726.51844559137
1596,233026.07742528763
1597,193515.92788934923
1598,217548.77335587848
1599,168307.02443164797
1600,162653.04792713287
1601,63374.69014183018
1602,117279.15310192881
1603,74329.79119163351
1604,274228.2024841042
